"","area_floor._m.sqr","latitudes","longitudes","Dist_Heating","elect","group"
"1",0,1,0,0,0.0481269645585213,1
"2",0.190254432559606,0.374657750965151,0.815885443941526,0.20629348319741,0.156464457132437,2
"3",0.121031312910815,0.347395954183999,0.812475219684981,0,0.19194416439155,2
"5",0.139658977903903,0.278490518277985,0.820891043986062,0.284703666450266,0.0418882831712722,2
"6",0.372480535545369,0.297610057586486,0.806087300306755,0.24958442810453,0.168697135893906,2
"7",0.0787794998665988,0.2165418609067,0.825403915596432,0.05484713139762,0.0299768063965717,2
"8",0.0765965703752213,0.205748096272698,0.826959473039115,0.120508884016015,0.0924593245266657,2
"9",0.166314972470834,0.229217204210324,0.826910407779486,0.232238237072412,0.145253503141157,2
"10",0.022047587862912,0.236764612820936,0.824362411104606,0.0327191469561414,0.02763928153017,2
"11",0.0459627931795581,0.181937266648455,0.827285190878016,0,0.0118691508453271,2
"12",0.281040044628781,0.359889889678778,0.82268381308778,0,0.668957850232197,2
"13",0.17371267796939,0.330826671166739,0.816243620336798,0.368023672134254,0.528572676852413,2
"14",0.085619345606248,0.196160904507843,0.814201373261136,0.102765928398481,0.109455619913637,2
"15",0.0399718644643334,0.284487522939681,0.82530729477748,0,0.0710021545736846,2
"16",0.07092095369764,0.197116459594571,0.826222928007116,0.0561476853837185,0.0617555810201861,2
"17",0.348298527735332,0.255884152129437,0.814594650188289,0.580698684602803,0.677741169073486,2
"18",0.0887724659826821,0.377794418545822,0.816266454553776,0.0761540026135195,0.133243785002325,2
"19",0.299231123723593,0.335682494146408,0.810016672752649,0.239322881112724,0.153253491743808,2
"20",0.0107448640520022,0.34226169131138,0.809498468125982,0,0.0031423438551435,2
"21",0.176332193359043,0.0104541523403866,0.999571056403349,0.592590477092696,0.277251652971645,2
"22",0.0285478667927915,0.0481236948130257,0.997814142683662,0.219872778995996,0.0438091504559177,2
"23",0.0087074631933833,0.334534984285075,0.810664900317323,0,0.00495903365684389,2
"24",0.0322588469281331,0,1,0,0.0444054929519274,2
"25",0.418952678939581,0.334201700170917,0.802645561056528,0,0.469782780791479,2
"26",0.566664241189454,0.215037863606683,0.831405351698837,0.414822389336394,0,2
"27",0.209949307526256,0.330440652224374,0.824443557495522,0.233529672362728,0,2
"28",0.265783792961265,0.245744299365138,0.81605132226157,0.326493973766357,0.125887304057892,2
"30",0.0618739236944869,0.339899171008591,0.81484299588701,0.194846518418626,0.100228516829847,2
"31",0.196366635135463,0.333655367350779,0.818894465344357,0.219950515877549,0.17807406661655,2
"32",0.153896529142109,0.221650811061641,0.81377431678985,0.384537883494983,0.141865194971981,2
"4",0.294210385893425,0.387940599489578,0.823720977191264,1,1,3
"29",1,0.315752947876887,0.820840657738678,0.564001694051039,0.51528201892321,4
